Service,Actions,Resource-level permissions,Resource-based policies,ABAC,Temporary credentials,Service-linked roles
Amazon CloudWatch Application Insights,Yes,No,No,No,Yes,No
Amazon CloudWatch Application Signals,Yes,Yes,No,Yes,Yes,No
Amazon CloudWatch Evidently,Yes,Yes,No,Yes,Yes,No
Amazon CloudWatch Internet Monitor,Yes,Yes,No,Yes,Yes,No
Amazon CloudWatch Logs,Yes,Yes,Yes,Partial,Yes,Yes
Amazon CloudWatch Network Monitor,Yes,Yes,No,Yes,Yes,No
Amazon CloudWatch Observability Access Manager,Yes,Yes,No,Yes,Yes,No
Amazon CloudWatch RUM,Yes,Yes,No,Yes,Yes,No
Amazon CloudWatch Synthetics,Yes,Yes,No,Yes,Yes,No
AWS CodeArtifact,Yes,Yes,Yes,Yes,Yes,No
AWS CodeBuild,Yes,Yes,Yes (Info),Partial (Info),Yes,No
Amazon CodeCatalyst,Yes,Yes,No,Yes,Yes,Yes
AWS CodeCommit,Yes,Yes,No,Yes,Yes,No
AWS CodeConnections,Yes,Yes,No,Yes,Yes,No
AWS CodeDeploy,Yes,Yes,No,Yes,Yes,No
AWS CodeDeploy secure host commands service,Yes,No,No,No,Yes,No
Amazon CodeGuru Profiler,Yes,Yes,No,Yes,Yes,Yes
Amazon CodeGuru Reviewer,Yes,Yes,No,Yes,Yes,Yes
Amazon CodeGuru Security,Yes,Yes,No,Yes,Yes,No
AWS CodePipeline,Yes,Partial,No,Yes,Yes,No
AWS CodeStar,Yes,Partial,No,Yes,Yes,No
AWS CodeStar Connections,Yes,Yes,No,Yes,Yes,Yes
AWS CodeStar Notifications,Yes,Yes,No,Yes,Yes,Yes
Amazon CodeWhisperer,Yes,Yes,No,Yes,Yes,Yes
Amazon Cognito,Yes,Yes,No,Yes,Yes,Yes
Amazon Cognito Sync,Yes,Yes,No,No,Yes,Yes
Amazon Cognito user pools,Yes,Yes,No,Yes,Yes,Yes
Amazon Comprehend,Yes,Yes,No,Yes,Yes,No
Amazon Comprehend Medical,Yes,No,No,No,Yes,No
AWS Compute Optimizer,Yes,No,No,No,Yes,Yes
AWS Config,Yes,Partial (Info),No,Yes,Yes,Yes
Amazon Connect,Yes,Yes,No,Yes,Yes,Yes
Amazon Connect Cases,Yes,Yes,No,Yes,Yes,No
Amazon Connect Customer Profiles,Yes,Yes,No,Yes,Yes,Yes
Amazon Connect Outbound Compaigns,Yes,Yes,No,Yes,Yes,No
Amazon Connect Voice ID,Yes,Yes,No,Yes,Yes,No
AWS Console Mobile Application,Yes,Yes,No,No,Yes,No
AWS Consolidated Billing,Yes,No,No,No,Yes,No
AWS Control Catalog,Yes,Yes,No,No,Yes,No
AWS Control Tower,Yes,Yes,No,No,Yes,No
AWS Cost and Usage Report,Yes,Yes,No,No,Yes,No
AWS Cost Explorer,Yes,Yes,Yes,Yes,Yes,No
AWS Cost Optimization Hub,Yes,No,No,No,Yes,No
AWS Customer Verification Service,Yes,No,No,No,Yes,No
AWS Database Migration Service,Yes,Yes,No (Info),Yes,Yes,Yes
Database Query Metadata Service,Yes,No,No,No,Yes,No
AWS Data Exchange,Yes,Yes,No,Yes,Yes,Yes
Amazon Data Lifecycle Manager,Yes,Yes,No,Yes,Yes,No
AWS Data Pipeline,Yes,Yes,No,Partial,Yes,No
AWS DataSync,Yes,Yes,No,Yes,Yes,Yes
Amazon DataZone,Yes,No,No,No,Yes,No
AWS Deadline Cloud,Yes,Yes,No,Yes,Yes,No
AWS DeepComposer,Yes,Yes,No,Yes,Yes,No
AWS DeepRacer,Yes,Yes,No,Yes,Yes,Yes
Amazon Detective,Yes,Yes,No,Yes,Yes,No
AWS Device Farm,Yes,Yes,No,Yes,Yes,Yes
Amazon DevOpsÂ Guru,Yes,Yes,No,No,Yes,Yes
AWS Diagnostic tools,Yes,Yes,No,Yes,Yes,No
AWS Direct Connect,Yes,Yes,No,Yes,Yes,Yes
AWS Directory Service,Yes,Yes,No,Yes,Yes,No
AWS Directory Service Data,Yes,Yes,No,Yes,Yes,No
Amazon DocumentDB Elastic Clusters,Yes,Yes,No,Yes,Yes,Yes
Amazon DynamoDB Accelerator (DAX),Yes,Yes,No,No,Yes,Yes
Amazon DynamoDB,Yes,Yes,Yes,Yes,Yes,No
Amazon Elastic Compute Cloud (Amazon EC2),Yes,Partial,No,Yes,Yes,Partial (Info)
Amazon EC2 Auto Scaling,Yes,Yes,No,Yes,Yes,Yes
EC2 Image Builder,Yes,Yes,No,Yes,Yes,Yes
Amazon EC2 Instance Connect,Yes,Yes,No,Yes,Yes,Yes
Amazon ElastiCache,Yes,Yes,No,Yes,Yes,Yes
AWS Elastic Beanstalk,Yes,Partial,No,Yes,Yes,Yes
Amazon Elastic Block Store (Amazon EBS),Yes,Partial,No,Yes,Yes,No
Amazon Elastic Container Registry (Amazon ECR),Yes,Yes,Yes,Yes,Yes,Yes
Amazon Elastic Container Registry Public (Amazon ECR Public),Yes,Yes,No,Yes,Yes,No
Amazon Elastic Container Service (Amazon ECS),Yes,Partial (Info),No,Yes,Yes,Yes
AWS Elastic Disaster Recovery,Yes,Yes,No,Yes,Yes,Yes
Amazon Elastic File System (Amazon EFS),Yes,Yes,Yes,Partial,Yes,Yes
Amazon Elastic Kubernetes Service (Amazon EKS),Yes,Yes,No,Yes,Yes,Yes
Amazon Elastic Kubernetes Service (Amazon EKS) Auth,Yes,Yes,No,No,Yes,No
AWS Elastic Load Balancing,Yes,Partial,No,Partial,Yes,Yes
Amazon Elastic Transcoder,Yes,Yes,No,No,Yes,No
AWS Elemental Appliances and Software Activation Service,Yes,Yes,No,Yes,Yes,No
AWS Elemental Appliances and Software,Yes,Yes,No,Yes,Yes,No
AWS Elemental MediaConnect,Yes,Yes,No,No,Yes,Yes
AWS Elemental MediaConvert,Yes,Yes,No,Yes,Yes,No
AWS Elemental MediaLive,Yes,Yes,No,Yes,Yes,No
AWS Elemental MediaPackage,Yes,Yes,No,Yes,Yes,Partial(Info)
AWS Elemental MediaPackage V2,Yes,Yes,No,Yes,Yes,No
AWS Elemental MediaPackage VOD,Yes,Yes,No,Yes,Yes,Partial(Info)
AWS Elemental MediaStore,Yes,Yes,Yes,Yes,Yes,No
AWS Elemental MediaTailor,Yes,Yes,No,Yes,Yes,Yes
AWS Elemental Support Cases,Yes,Yes,No,Yes,Yes,No
AWS Elemental Support Content,Yes,No,No,No,Yes,No
Amazon EMR,Yes,Yes,No,Yes,Yes,Yes
Amazon EMR on EKS,Yes,Yes,No,Yes,Yes,Yes
Amazon EMR Serverless,Yes,Yes,No,Yes,Yes,Yes
AWS End User Messaging SMS and Voice V2,Yes,Yes,No,Yes,Yes,Yes
AWS End User Messaging Social,Yes,Yes,No,Yes,Yes,Yes
AWS Entity Resolution,Yes,Yes,No,Yes,Yes,No
Amazon EventBridge,Yes,Yes,Yes,Yes,Yes,No
Amazon EventBridge Pipes,Yes,Yes,No,Yes,Yes,No
Amazon EventBridge Scheduler,Yes,Yes,No,Yes,Yes,No
Amazon EventBridge Schemas,Yes,Yes,Yes,Yes,Yes,No
AWS Fault Injection Service,Yes,Yes,No,Yes,Yes,Yes
Amazon FinSpace,Yes,Yes,No,Yes,Yes,Yes
Amazon FinSpace API,Yes,Yes,No,No,Yes,No
AWS Firewall Manager,Yes,Yes,No,Yes,Yes,Partial
Fleet Hub for AWS IoT Device Management,Yes,Yes,No,Yes,Yes,No
Amazon Forecast,Yes,Yes,No,Yes,Yes,No
Amazon Fraud Detector,Yes,Yes,No,Yes,Yes,No
FreeRTOS,Yes,Yes,No,Yes,Yes,No
AWS Free Tier,Yes,No,No,No,Yes,No
Amazon FSx,Yes,Yes,No,Yes,Yes,Yes
Amazon GameLift,Yes,Yes,No,Yes,Yes,No
AWS Global Accelerator,Yes,Yes,No,Yes,Yes,Yes
AWS Glue,Yes,Yes,Yes,Partial,Yes,No
AWS Glue DataBrew,Yes,Yes,No,Yes,Yes,No
AWS Ground Station,Yes,Yes,No,Yes,Yes,Yes
Amazon Ground Truth Labeling,Yes,No,No,No,Yes,No
Amazon GuardDuty,Yes,Yes,No,Yes,Yes,Yes
AWS Health APIs And Notifications,Yes,Yes,No,No,Yes,No
AWS HealthImaging,Yes,Yes,No,Yes,Yes,No
AWS HealthLake,Yes,Yes,No,Yes,Yes,No
AWS HealthOmics,Yes,Yes,No,Yes,Yes,No
AWS IAM Identity Center,Yes,Yes,No,Partial,Yes,Yes
IAM Identity Center Directory,Yes,No,No,No,Yes,No
IAM Identity Center Identity Store,Yes,Yes,No,No,Yes,No
IAM Identity Center OIDC service,Yes,Yes,No,No,Yes,No
AWS Identity and Access Management (IAM),Yes,Yes,Partial (Info),Partial(Info),Partial (Info),No
AWS Identity and Access Management and Access Analyzer,Yes,Yes,No,Yes,Yes,Partial
AWS Identity and Access Management Roles Anywhere,Yes,Yes,No,Yes,Yes,Yes
AWS Identity Store Auth,Yes,No,No,No,Yes,No
AWS Identity Sync,Yes,Yes,No,No,Yes,No
AWS Import/Export,Yes,No,No,No,Yes,No
Amazon Inspector,Yes,Yes,No,Yes,Yes,Yes
Amazon Inspector Classic,Yes,No,No,No,Yes,Yes
Amazon InspectorScan,Yes,No,No,No,Yes,No
Amazon Interactive Video Service,Yes,Yes,No,Yes,Yes,Yes
Amazon Interactive Video Service Chat,Yes,Yes,No,Yes,Yes,No
AWS Invoicing,Yes,Yes,No,Yes,Yes,No
AWS IoT 1-Click,Yes,Yes,No,Yes,Yes,No
AWS IoT Analytics,Yes,Yes,No,Yes,Yes,No
AWS IoT,Yes,Yes,Partial (Info),Yes,Yes,No
AWS IoT Core Device Advisor,Yes,Yes,No,Yes,Yes,No
AWS IoT Device Tester,Yes,No,No,No,Yes,No
AWS IoT Events,Yes,Yes,No,Yes,Yes,No
AWS IoT FleetWise,Yes,Yes,No,Yes,Yes,No
AWS IoT Greengrass,Yes,Yes,No,Yes,Yes,No
AWS IoT Greengrass V2,Yes,Yes,No,Partial,Yes,No
AWS IoT Jobs DataPlane,Yes,Yes,No,No,Yes,No
AWS IoT SiteWise,Yes,Yes,No,Yes,Yes,Yes
AWS IoT TwinMaker,Yes,Yes,No,Yes,Yes,Yes
AWS IoT Wireless,Yes,Yes,No,Yes,Yes,No
AWS IQ,Yes,Yes,No,No,Yes,Yes
AWS IQ Permissions,Yes,Yes,No,No,Yes,No
Amazon Kendra,Yes,Yes,No,Yes,Yes,No
Amazon Kendra Intelligent Ranking,Yes,Yes,No,Yes,Yes,No
AWS Key Management Service (AWS KMS),Yes,Yes,Yes,Yes,Yes,Yes
Amazon Keyspaces (for Apache Cassandra),Yes,Yes,No,Yes,Yes,Yes
Amazon Managed Service for Apache Flink,Yes,Yes,No,Yes,Yes,No
Amazon Managed Service for Apache Flink V2,Yes,Yes,No,Yes,Yes,No
Amazon Data Firehose,Yes,Yes,No,Yes,Yes,No
Amazon Kinesis Data Streams,Yes,Yes,Yes,Yes,Yes,No
Amazon Kinesis Video Streams,Yes,Yes,No,Yes,Yes,No
AWS Lake Formation,Yes,No,No,No,Yes,Yes
AWS Lambda,Yes,Yes,Yes,Partial (Info),Yes,Partial (Info)
AWS Launch Wizard,Yes,No,No,No,Yes,No
Amazon Lex,Yes,Yes,No,Yes,Yes,Yes
Amazon Lex V2,Yes,Yes,Yes,Yes,Yes,Yes
AWS License Manager,Yes,Yes,No,Yes,Yes,Yes
AWS License Manager Linux Subscriptions Manager,Yes,No,No,No,Yes,No
AWS License Manager User Subscriptions,Yes,No,No,No,Yes,Yes
Amazon Lightsail,Yes,Partial (Info),No,Partial (Info),Yes,Yes
Amazon Location Service,Yes,Yes,No,Yes,Yes,No
Amazon Location Service Maps,Yes,Yes,No,No,Yes,No
Amazon Location Service Places,Yes,Yes,No,No,Yes,No
Amazon Location Service Routes,Yes,Yes,No,No,Yes,No
Amazon Lookout for Equipment,Yes,Yes,No,Yes,Yes,No
Amazon Lookout for Metrics,Yes,Yes,No,Yes,Yes,No
Amazon Lookout for Vision,Yes,Yes,No,Yes,Yes,No
Amazon Machine Learning,Yes,Yes,No,No,Yes,No
Amazon Macie,Yes,Yes,No,Yes,Yes,Yes
AWS Mainframe Modernization,Yes,Yes,No,Yes,Yes,Yes
AWS Mainframe Modernization Application Testing,Yes,Yes,No,Yes,Yes,No
Amazon Managed Blockchain,Yes,Yes,No,Yes,Yes,No
Amazon Managed Blockchain Query,Yes,No,No,No,Yes,No
Amazon Managed Grafana,Yes,Yes,No,Yes,Yes,Yes
Amazon Managed Service for Prometheus,Yes,Yes,No,Yes,Yes,No
Amazon Managed Streaming for Apache Kafka (MSK),Yes,Yes,Partial (Info),Yes,Yes,Yes
Amazon Managed Streaming for Kafka Connect,Yes,Yes,No,Yes,Yes,Yes
Amazon Managed Workflows for Apache Airflow,Yes,Yes,No,Yes,Yes,No
AWS Marketplace,Yes,No,No,No,Yes,Yes
AWS Marketplace Catalog,Yes,Yes,No,Yes,Yes,No
AWS Marketplace Commerce Analytics,Yes,No,No,No,No,No
AWS Marketplace Deployment Service,Yes,Yes,No,Yes,Yes,No
AWS Marketplace Discovery,Yes,No,No,No,Yes,No
AWS Marketplace Entitlement Service,Yes,No,No,No,Yes,No
AWS Marketplace Image Building Service,Yes,No,No,No,Yes,No
AWS Marketplace Management Portal,Yes,No,No,No,Yes,No
AWS Marketplace Metering Service,Yes,No,No,No,Yes,No
AWS Marketplace Private Marketplace,Yes,No,No,No,Yes,No
AWS Marketplace Procurement Systems Integration,Yes,No,No,No,Yes,No
AWS Marketplace Reporting,Yes,Yes,No,No,Yes,No
AWS Marketplace Seller Reporting,Yes,Yes,No,No,Yes,No
AWS Marketplace Vendor Insights,Yes,Yes,No,Yes,Yes,No
Amazon Mechanical Turk,Yes,No,No,No,Yes,No
Amazon MediaImport,Yes,No,No,No,No,No
Amazon MemoryDB,Yes,Yes,No,Yes,Yes,Yes
Amazon Message Delivery Service,Yes,No,No,No,Yes,No
Amazon Message Gateway Service,Yes,No,No,No,Yes,No
AWS Microservice Extractor for .NET,Yes,No,No,No,Yes,No
AWS Migration Acceleration Program Credits,Yes,Yes,No,No,Yes,No
AWS Migration Hub,Yes,Yes,No,No,Yes,Yes
AWS Migration Hub Orchestrator,Yes,Yes,No,Yes,Yes,Yes
AWS Migration Hub Refactor Spaces,Yes,Yes,Yes,Yes,Yes,Yes
AWS Migration Hub Strategy Recommendations,Yes,No,No,No,Yes,Yes
Amazon Monitron,Yes,Yes,No,Yes,Yes,Yes
Amazon MQ,Yes,Yes,No,Yes,Yes,Yes
Amazon Neptune,Yes,Yes,No,No,Yes,Yes
Amazon Neptune Analytics,Yes,Yes,No,Yes,Yes,No
AWS Network Firewall,Yes,Yes,No,Yes,Yes,Yes
Network Flow Monitor,Yes,Yes,No,Yes,Yes,No
AWS Network Manager,Yes,Yes,No,Yes,Yes,Yes(Info)
AWS Network Manager Chat,Yes,No,No,No,Yes,No
Amazon Nimble Studio,Yes,Yes,No,Yes,Yes,No
Amazon One Enterprise,Yes,Yes,No,Yes,Yes,No
Amazon OpenSearch Service,Yes,Yes,No,No,Yes,No
Amazon OpenSearch Ingestion,Yes,Yes,No,Yes,Yes,Yes
Amazon OpenSearch Serverless,Yes,Yes,No,Yes,Yes,Yes
Amazon OpenSearch Service,Yes,Yes,Yes,Yes,Yes,Yes
AWS OpsWorks,Yes,Yes,No,No,Yes,No
AWS OpsWorks Configuration Management,Yes,Yes,No,No,Yes,No
AWS Organizations,Yes,Yes,Yes,Yes,No,Yes
AWS Outposts,Yes,Yes,No,Yes,Yes,Yes
AWS Panorama,Yes,Yes,No,Yes,Yes,Yes
AWS Parallel Computing Service,Yes,Yes,No,Yes,Yes,Yes
AWS Partner Central account management,Yes,No,No,No,Yes,No
AWS Partner Central Selling,Yes,Yes,No,Yes,Yes,No
AWS Payment Cryptography,Yes,Yes,No,Yes,Yes,No
AWS Payments,Yes,No,No,No,Yes,No
AWS Performance Insights,Yes,Yes,No,No,Yes,No
Amazon Personalize,Yes,Yes,No,No,Yes,No
Amazon Pinpoint,Yes,Yes,No,Yes,Yes,No
Amazon Pinpoint Email Service,Yes,Yes,No,Yes,Yes,No
Amazon Pinpoint SMS and Voice Service,Yes,No,No,No,Yes,No
Amazon Polly,Yes,Yes,No,No,Yes,No
AWS Price List,Yes,No,No,No,Yes,No
AWS Private 5G,Yes,Yes,No,Yes,Yes,No
AWS Private CA Connector for Active Directory,Yes,Yes,No,Yes,Yes,No
AWS Private CA Connector for SCEP,Yes,Yes,No,Yes,Yes,No
AWS Private Certificate Authority (AWS Private CA),Yes,Yes,Yes,Yes,Yes,No
AWS PrivateLink,Yes,No,No,No,Yes,No
AWS Proton,Yes,Yes,No,Yes,Yes,Yes
AWS Purchase Orders Console,Yes,Yes,No,Yes,Yes,No
Amazon Q Business,Yes,Yes,No,Yes,Yes,Yes
Amazon Q Business Q Apps,Yes,Yes,No,No,Yes,Yes
Amazon Q Developer,Yes,No,No,No,Yes,Yes
Amazon Q in Connect,Yes,Yes,No,Yes,Yes,No
Amazon Quantum Ledger Database (Amazon QLDB),Yes,Yes,No,Yes,Yes,No
Amazon QuickSight,Yes,Yes,No,Yes,Yes,No
Amazon RDS Data API,Yes,Yes,No,No,Yes,No
Amazon RDS IAM Authentication,Yes,Yes,No,No,Yes,No
AWS Recycle Bin,Yes,Yes,No,Yes,Yes,No
Amazon Redshift,Yes,Yes,No,Yes,Yes,Yes
Amazon Redshift Data API,Yes,Yes,No,No,Yes,No
Amazon Redshift Serverless,Yes,Yes,Yes,Yes,Yes,No
Amazon Rekognition,Yes,Yes,Partial (Info),Yes,Yes,No
Amazon Relational Database Service (Amazon RDS) (Info),Yes,Yes,No,Yes,Yes,Yes
AWS re:Post Private,Yes,Yes,No,Yes,Yes,Yes
AWS Resilience Hub,Yes,Yes,No,Yes,Yes,No
AWS Resource Access Manager (AWS RAM),Yes,Yes,No,Yes,Yes,Yes
AWS Resource Explorer,Yes,Yes,No,Yes,Yes,Yes
AWS Resource Groups,Yes,Yes,No,Yes,Partial (Info),Yes
AWS Resource Groups Tagging API,Yes,No,No,No,Yes,No
Amazon RHEL Knowledgebase Portal,Yes,No,No,No,Yes,No
AWS RoboMaker,Yes,Yes,No,Yes,Yes,Yes
Amazon RouteÂ 53,Yes,Yes,No,No,Yes,No
Amazon RouteÂ 53 Domains,Yes,No,No,No,No,No
Amazon RouteÂ 53 Profiles,Yes,Yes,No,Yes,Yes,No
Amazon RouteÂ 53 Recovery Cluster,Yes,Yes,No,No,Yes,No
Amazon RouteÂ 53 Recovery Control Config,Yes,Yes,No,Yes,Yes,No
Amazon RouteÂ 53 Recovery Readiness,Yes,Yes,No,Yes,Yes,Yes
Amazon RouteÂ 53 Resolver,Yes,Yes,No,Yes,Yes,Yes
Amazon S3 Express,Yes,Yes,Yes,No,Yes,No
Amazon S3 Glacier,Yes,Yes,Yes,Yes,Yes,Partial
Amazon S3 Tables,Yes,Yes,Yes,No,Yes,No
Amazon SageMaker AI,Yes,Yes,No,Yes,Yes,Partial(Info)
Amazon SageMaker AI data science assistant,Yes,No,No,No,Yes,No
Amazon SageMaker AI geospatial capabilities,Yes,Yes,No,Yes,Yes,No
Amazon SageMaker Ground Truth Synthetic,Yes,No,No,No,Yes,No
Amazon SageMaker AI with MLflow,Yes,Yes,No,No,Yes,No
AWS Savings Plans,Yes,Yes,No,Yes,Yes,No
AWS Secrets Manager,Yes,Yes,Yes,Yes,Yes,No
AWS Security Hub,Yes,Yes,No,Yes,Yes,Yes
AWS Security Incident Response,Yes,Yes,No,Yes,Yes,Yes
Amazon Security Lake,Yes,Yes,No,No,Yes,Yes
AWS Security Token Service (AWS STS),Yes,Partial (Info),No,Yes,Partial (Info),No
AWS Serverless Application Repository,Yes,Yes,Yes,No,Yes,No
AWS Service Catalog,Yes,Yes,No,Yes,Yes,Yes
Service Quotas,Yes,Yes,No,Yes,Yes,No
AWS Shield,Yes,Yes,No,Yes,Yes,Yes
AWS Signer,Yes,Yes,Yes,Yes,Yes,No
AWS Signin,Yes,No,No,No,Yes,No
Amazon SimpleDB,Yes,Yes,No,No,Yes,No
Amazon Simple Email Service â Mail Manager,Yes,Yes,No,Yes,Yes,Yes
Amazon Simple Email Service (Amazon SES) v2,Yes,Partial (Info),Yes,Yes,Partial (Info),Yes
Amazon Simple Notification Service (Amazon SNS),Yes,Yes,Yes,Yes,Yes,No
Amazon Simple Queue Service (Amazon SQS),Yes,Yes,Yes,Partial,Yes,No
Amazon Simple Storage Service (Amazon S3),Yes,Yes,Yes,Partial (Info),Yes,Partial (Info)
Amazon Simple Storage Service (Amazon S3) Object Lambda,Yes,Yes,No,No,Yes,No
Amazon Simple Storage Service (Amazon S3) on AWS Outposts,Yes,Yes,Yes,No,Yes,Yes
Amazon Simple Workflow Service (Amazon SWF),Yes,Yes,No,Yes,Yes,No
AWS SimSpace Weaver,Yes,Yes,No,Yes,Yes,No
AWS Site-to-Site VPN,Yes,Yes,No,No,Yes,Yes
AWS Snowball,Yes,No,No,No,Yes,No
AWS Snowball Edge,Yes,No,No,No,Yes,No
AWS Snow Device Management,Yes,Yes,No,Yes,Yes,No
AWS SQL Workbench,Yes,Yes,No,Yes,Yes,No
AWS Step Functions,Yes,Yes,No,Yes,Yes,No
AWS Storage Gateway,Yes,Yes,No,Yes,Yes,No
AWS Supply Chain,Yes,Yes,No,Yes,Yes,No
AWS Support App in Slack,Yes,No,No,No,Yes,No
AWS Support,Yes,No,No,No,Yes,Yes
AWS Support Plans,Yes,No,No,No,Yes,No
AWS Support Recommendations,Yes,No,No,No,Yes,No
AWS Sustainability,Yes,No,No,No,Yes,No
AWS Systems Manager,Yes,Yes,Partial,Yes,Yes,Yes
AWS Systems Manager for SAP,Yes,Yes,No,Yes,Yes,No
AWS Systems Manager GUI Connect,Yes,No,No,No,Yes,No
AWS Systems Manager Incident Manager,Yes,Yes,Yes,Yes,Yes,Yes
AWS Systems Manager Incident Manager Contacts,Yes,Yes,Yes,No,Yes,No
AWS Systems Manager Quick Setup,Yes,Yes,No,Yes,Yes,No
Tag Editor,Yes,No,No,No,Yes,No
AWS Tax Settings,Yes,No,No,No,Yes,No
AWS Telco Network Builder,Yes,Yes,No,Yes,Yes,No
Amazon Textract,Yes,No,No,No,Yes,No
Amazon Timestream,Yes,Yes,No,Yes,Yes,No
Amazon Timestream Influxdb,Yes,Yes,No,Yes,Yes,Yes
AWS Tiros API (for Reachability Analyzer),Yes,No,No,No,No,No
Amazon Transcribe,Yes,Yes,No,Yes,Yes,No
AWS Transfer Family,Yes,Yes,No,Yes,Yes,No
Amazon Translate,Yes,Yes,No,Yes,Yes,No
AWS Trusted Advisor,Partial (Info),Yes,No,No,Partial,Yes
AWS User Notifications,Yes,Yes,No,Yes,Yes,Yes
AWS User Notifications Contacts,Yes,Yes,No,Yes,Yes,No
AWS User Subscriptions,Yes,No,No,No,Yes,No
AWS Verified Access,Yes,No,No,No,Yes,No
Amazon Verified Permissions,Yes,Yes,No,No,Yes,No
Amazon Virtual Private Cloud (Amazon VPC),Yes,Partial (Info),Partial (Info),Yes,Yes,Partial (Info)
Amazon VPC Lattice,Yes,Yes,No,Yes,Yes,No
Amazon VPC Lattice Services,Yes,Yes,No,No,Yes,No
AWS WAF,Yes,Yes,No,Yes,Yes,Yes
AWS WAF Classic,Yes,Yes,No,Yes,Yes,Yes
AWS WAF Regional,Yes,Yes,No,Yes,Yes,Yes
AWS Well-Architected Tool,Yes,Yes,No,Yes,Yes,No
AWS Wickr,Yes,Yes,No,Yes,Yes,No
Amazon WorkDocs,Yes,No,No,No,Yes,No
